roi_folder,imaging_row,display_construct,display_fluorTag,display_fluorOrganelle,display_organelle,display_fluor,mount_orientation,birthday,age_tiff,n_tiffs,n_tiffs_cama,n_tiffs_camb,n_tiffs_cam2,n_tiffs_unknown_cam,mom_transgene,dad_transgene,injected_plasmid,injected_rna,linkage_class,construct_source,tg_display,display_constructs,display_fluors,display_organelle_treatment_aware,display_fluors_treatment_aware
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,5003,4959,22,0,22,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,274,273,1,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,449,448,1,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,421,420,1,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_test,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,20,0,0,0,20,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,98,96,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,454,452,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,591,588,3,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,454,452,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,433,431,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,454,452,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,454,452,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,454,452,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi4,direct_163,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,,7/21/25,,442,440,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1,direct_160,rna(mgco-4) > tg(pdqm-82)315,rna(mStayGold-sec61b(N)) > tdmChilada-2xLynk(N),rna(mStayGold-ER) > tdmChilada-membrane,ER; membrane,staygold; chilada,,7/23/25,,414,408,6,0,0,pdqm-82(315),pdqm-82(315),,mgco-4,direct,direct+slug_rule_memmchilada_ermsg,pdqm-82(315),rna(mgco-4) > tg(pdqm-82)315,staygold; chilada,rna(ER) > membrane,rna(staygold) > chilada
Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,direct_153,rna(mgco-23) > tg(pswin-1)is01,rna(mStayGold-lifeact(N)) > halo-2xLynk(N),rna(mStayGold-actin) > halo-membrane,actin; membrane,staygold; halo,,8/4/25,,402,396,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-23,direct,direct,pswin-1(is01),rna(mgco-23) > tg(pswin-1)is01,staygold; halo,rna(actin) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,direct_153,rna(mgco-23) > tg(pswin-1)is01,rna(mStayGold-lifeact(N)) > halo-2xLynk(N),rna(mStayGold-actin) > halo-membrane,actin; membrane,staygold; halo,,8/4/25,,402,396,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-23,direct,direct,pswin-1(is01),rna(mgco-23) > tg(pswin-1)is01,staygold; halo,rna(actin) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,direct_153,rna(mgco-23) > tg(pswin-1)is01,rna(mStayGold-lifeact(N)) > halo-2xLynk(N),rna(mStayGold-actin) > halo-membrane,actin; membrane,staygold; halo,,8/4/25,,402,396,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-23,direct,direct,pswin-1(is01),rna(mgco-23) > tg(pswin-1)is01,staygold; halo,rna(actin) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi4,direct_153,rna(mgco-23) > tg(pswin-1)is01,rna(mStayGold-lifeact(N)) > halo-2xLynk(N),rna(mStayGold-actin) > halo-membrane,actin; membrane,staygold; halo,,8/4/25,,402,396,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-23,direct,direct,pswin-1(is01),rna(mgco-23) > tg(pswin-1)is01,staygold; halo,rna(actin) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi5,direct_153,rna(mgco-23) > tg(pswin-1)is01,rna(mStayGold-lifeact(N)) > halo-2xLynk(N),rna(mStayGold-actin) > halo-membrane,actin; membrane,staygold; halo,,8/4/25,,402,396,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-23,direct,direct,pswin-1(is01),rna(mgco-23) > tg(pswin-1)is01,staygold; halo,rna(actin) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi1,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,408,402,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi2,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,409,403,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi1,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,408,402,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi2,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,408,402,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi3,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,407,401,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi1,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,407,401,6,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi2,direct_155,rna(mgco-1) > tg(pswin-1)is01,rna(mStayGold-2Xcox8A(N)) > halo-2xLynk(N),rna(mStayGold-mitochondria) > halo-membrane,mitochondria; membrane,staygold; halo,,8/4/25,,816,804,12,0,0,pswin-1(is01),pswin-1(is01),,mgco-1,direct,direct,pswin-1(is01),rna(mgco-1) > tg(pswin-1)is01,staygold; halo,rna(mitochondria) > membrane,rna(staygold) > halo
Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,120,106,14,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_1,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,314,288,26,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_test,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,6,4,2,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi2,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,314,288,26,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi3,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,312,288,24,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi1,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,312,288,24,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi2,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,312,288,24,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi3,direct_150,rna(mgco-15) > tg(pdqm-82)315,rna(mStayGold-LAMP1(N)) > tdmChilada-2xLynk(N),rna(mStayGold-lysosome) > tdmChilada-membrane,lysosome; membrane,staygold; chilada,DT,8/7/25,,312,288,24,0,0,pdqm-82(315),pdqm-82(315),,mgco-15,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-15) > tg(pdqm-82)315,staygold; chilada,rna(lysosome) > membrane,rna(staygold) > chilada
Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi1,direct_149,rna(mgco-1) > tg(pdqm-82)315,rna(mStayGold-2Xcox8A(N)) > tdmChilada-2xLynk(N),rna(mStayGold-mitochondria) > tdmChilada-membrane,mitochondria; membrane,staygold; chilada,DT,8/7/25,,318,294,24,0,0,pdqm-82(315),pdqm-82(315),,mgco-1,direct_by_rule_20250808_slug_mito_to_149_lyso_to_150,direct,pdqm-82(315),rna(mgco-1) > tg(pdqm-82)315,staygold; chilada,rna(mitochondria) > membrane,rna(staygold) > chilada
